crn,report_month,reference_date,loan_type_new,loan_status,loan_classification,ownership_type,sector,sanction_amount,high_credit_amount,creditlimit,out_standing_balance,over_due_amount,emi,tu_score,date_opened,date_closed,datereported_trades,last_payment_date,pay_hist_start_date,pay_hist_end_date,dpd_string,base,CV_RN
10472013941,202602,2026-01-30,Construction Equipment Loan,Closed,,Individual,NOT DISCLOSED,2000000,2000000,,0,,,764,2018-04-20,2022-06-15,2022-06-30,2022-06-15,2022-06-01,2019-07-01,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,53
10472013941,202602,2026-01-30,Construction Equipment Loan,Closed,,Individual,KOTAK BANK,1082000,1082000,,0,,,764,2018-02-27,2021-04-27,2021-04-30,2021-03-05,2021-04-01,2018-05-01,000000000000000000000000027027000000000000000000000000000000000000000000000000000000000000000000000000000000,,45
10472013941,202602,2026-01-30,Construction Equipment Loan,Closed,,Joint,KOTAK BANK,2000000,2000000,,0,,,764,2016-05-26,2019-04-01,2019-04-30,2019-03-11,2019-04-01,2016-05-01,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,54
10472013941,202602,2026-01-30,Auto Loan (Personal),Closed,,Joint,KOTAK PRIME,493000,493000,,0,,,764,2016-04-21,2019-04-01,2019-05-31,2019-03-05,2019-05-01,2016-06-01,000XXX000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,18
10472013941,202602,2026-01-30,Construction Equipment Loan,Closed,,Individual,NOT DISCLOSED,1700000,1700000,,0,,,764,2016-03-29,2019-03-05,2019-03-31,2019-03-05,2019-03-01,2016-04-01,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,50
10472013941,202602,2026-01-30,Construction Equipment Loan,Closed,,Individual,KOTAK BANK,1460000,1460000,,0,,,764,2015-07-13,2018-06-17,2018-06-30,2018-06-10,2018-06-01,2015-07-01,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000XXXXXX000000000000000,,48
10472013941,202602,2026-01-30,Construction Equipment Loan,Closed,,Individual,KOTAK BANK,855000,855000,,0,,,764,2015-07-13,2018-06-17,2018-06-30,2018-06-10,2018-06-01,2015-07-01,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000XXXXXX000000000000000,,32
10472013941,202602,2026-01-30,Credit Card,Live,,Individual,NOT DISCLOSED,230394,230394,195000,46473,,,764,2015-05-06,,2026-01-15,2026-01-06,2026-01-01,2023-02-01,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,5
10472013941,202602,2026-01-30,Auto Loan (Personal),Closed,,Individual,NOT DISCLOSED,1525000,1525000,,0,,,764,2015-04-25,2020-07-07,2020-07-31,2020-07-07,2020-07-01,2017-08-01,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,49
10472013941,202602,2026-01-30,Commercial Vehicle Loan,Closed,,Guarantor,NOT DISCLOSED,4000000,4000000,,0,,198750,764,2015-01-30,2017-08-01,2017-10-01,2017-02-01,2017-10-01,2015-01-01,000000000000000000XXX000000XXXXXX000XXX000XXX000000XXX000XXX000000STDXXXSTDSTDSTDSTDXXXSTDSTDSTDSTDSTD,,63
10472013941,202602,2026-01-30,Construction Equipment Loan,Closed,,Individual,KOTAK BANK,1000000,1000000,,0,,,764,2014-10-31,2017-10-16,2017-10-31,2017-10-03,2017-10-01,2014-11-01,000000000000000000000000000000000000000000000000000000000000000XXXXXX000000000000000000000000000000000000000,,43
10472013941,202602,2026-01-30,Construction Equipment Loan,Closed,,Individual,KOTAK BANK,442000,442000,,0,,,764,2012-10-23,2015-10-19,2015-10-31,2015-10-12,2015-10-01,2012-11-01,000000000000000000000000000000013012000000000000012000000000000000000000000000000000000000000000000000000000,,14
10472013941,202602,2026-01-30,Construction Equipment Loan,Closed,,Individual,KOTAK BANK,442000,442000,,0,,,764,2012-10-11,2015-10-19,2015-10-31,2015-10-12,2015-10-01,2012-11-01,000000000000000000000000000000000000000000000000022000000000000000000000000000000000000000000000000000000000,,15
10472013941,202602,2026-01-30,Construction Equipment Loan,Closed,,Individual,KOTAK BANK,616000,616000,,0,,,764,2012-10-11,2015-10-19,2015-10-31,2015-10-12,2015-10-01,2012-11-01,000000000000000000000000000000000000000000000000022000000000000000000000000000000000000000000000000000000000,,23
10472013941,202602,2026-01-30,Construction Equipment Loan,Closed,,Individual,KOTAK BANK,550000,550000,,0,,,764,2012-08-22,2015-10-19,2015-10-31,2015-10-12,2015-10-01,2012-11-01,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,20
10472013941,202602,2026-01-30,Construction Equipment Loan,Closed,,Individual,KOTAK BANK,611000,611000,,0,,,764,2012-08-21,2015-10-19,2015-10-31,2015-10-12,2015-10-01,2012-11-01,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,22
10472013941,202602,2026-01-30,Other,Closed,,Joint,NOT DISCLOSED,436000,436000,,0,,3634,764,2012-04-24,2022-01-07,2022-01-31,2021-11-30,2022-01-01,2021-07-01,000000000XXX000000000,,13
10472013941,202602,2026-01-30,Construction Equipment Loan,Closed,,Guarantor,KOTAK BANK,935621,935621,,0,,,764,2012-02-28,2017-01-16,2017-01-31,2015-02-06,2017-01-01,2014-02-01,000000000000000000000000000000000000XXXXXX000000000000000000000000000000013013012000043044043012013012013010,,36
10472013941,202602,2026-01-30,Construction Equipment Loan,Closed,,Guarantor,KOTAK BANK,905471,905471,,0,,,764,2012-02-28,2015-02-04,2015-02-28,2015-01-20,2015-02-01,2012-03-01,000000000000000000000000000000000000000000000000000000000013000013043013000000000000000000000000000000000000,,35
10472013941,202602,2026-01-30,Construction Equipment Loan,Closed,,Individual,KOTAK BANK,900000,900000,,0,,,764,2012-02-28,2015-04-15,2015-04-30,2015-02-20,2015-04-01,2012-05-01,000000000000000000000000000000012000000013000000000000000000000000000000000000000000000000000000000000000000,,34
10472013941,202602,2026-01-30,Construction Equipment Loan,Closed,,Guarantor,KOTAK BANK,359000,359000,,0,,,764,2012-01-13,2015-06-23,2015-06-30,2013-12-10,2015-06-01,2012-07-01,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,8
10472013941,202602,2026-01-30,Construction Equipment Loan,Closed,,Guarantor,KOTAK BANK,970000,970000,,-1370,,,764,2011-09-29,2015-07-28,2015-07-31,2014-07-31,2015-07-01,2012-08-01,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,39
10472013941,202602,2026-01-30,Construction Equipment Loan,Closed,,Guarantor,KOTAK BANK,990000,990000,,0,,,764,2011-08-30,2014-07-16,2014-07-31,2014-06-20,2014-07-01,2011-08-01,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,42
10472013941,202602,2026-01-30,Construction Equipment Loan,Closed,,Individual,KOTAK BANK,1070000,1070000,,0,,,764,2011-04-19,2015-07-28,2015-07-31,2015-03-18,2015-07-01,2012-08-01,000000000000000000000018000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,44
10472013941,202602,2026-01-30,Construction Equipment Loan,Closed,,Guarantor,KOTAK BANK,963000,963000,,0,,,764,2011-01-28,2014-01-10,2014-01-31,2013-12-16,2014-01-01,2011-02-01,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,38
10472013941,202602,2026-01-30,Business Loan - General,Closed,,Individual,KOTAK BANK,985000,985000,,0,,,764,2011-01-28,2013-12-11,2013-12-31,2013-11-20,2013-12-01,2011-01-01,000000000000000000000000000000000000000000000000000000000000011000000000000000000000000000000000000000000000,,41
10472013941,202602,2026-01-30,Business Loan - General,Closed,,Individual,KOTAK BANK,650000,650000,,0,,,764,2010-10-14,2012-10-11,2012-10-31,2012-10-10,2012-10-01,2010-10-01,000000000000000000000000000000000000000000000000000000000000000000000000000,,24
10472013941,202602,2026-01-30,Business Loan - General,Closed,,Individual,KOTAK BANK,695000,695000,,0,,,764,2010-05-19,2013-05-13,2013-05-31,2013-04-11,2013-05-01,2010-06-01,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,26
10472013941,202602,2026-01-30,Construction Equipment Loan,Closed,,Guarantor,KOTAK BANK,800000,800000,,0,,,764,2010-04-12,2015-06-23,2015-06-30,2013-03-31,2015-06-01,2012-07-01,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,30
10472013941,202602,2026-01-30,Business Loan - General,Closed,,Guarantor,KOTAK BANK,220000,220000,,0,,,764,2009-11-28,2011-11-14,2011-11-30,2011-10-20,2011-11-01,2009-11-01,000000000000000000000000XXX000000000000000000000000000000000000000000000000,,3
10472013941,202602,2026-01-30,Business Loan - General,Closed,,Guarantor,KOTAK BANK,220000,220000,,0,,,764,2009-11-28,2011-11-14,2011-11-30,2011-10-20,2011-11-01,2009-11-01,000000000000000000000000XXX000000000000000000000000000000000000000000000000,,4
10472013941,202602,2026-01-30,Business Loan - General,Closed,,Guarantor,KOTAK BANK,360000,360000,,0,,,764,2009-11-28,2011-11-14,2011-11-30,2011-10-20,2011-11-01,2009-11-01,000000000000000000000000XXX000000000000000000000000000000000000000000000000,,9
10472013941,202602,2026-01-30,Business Loan - General,Closed,,Guarantor,KOTAK BANK,450000,450000,,0,,,764,2009-10-28,2012-10-10,2012-10-31,2012-08-20,2012-10-01,2009-11-01,000000000000012000000000000000000000000000000000000000000XXX000000000000000000000000000000000000000000000000,,16
10472013941,202602,2026-01-30,Business Loan - General,Closed,,Individual,KOTAK BANK,683000,683000,,0,,,764,2009-09-23,2012-08-21,2012-08-31,2012-08-20,2012-08-01,2009-09-01,000000000000000000000000000000000000000000000000000XXX000000000000000000000000000000000000000000000000000000,,25
10472013941,202602,2026-01-30,Construction Equipment Loan,Closed,,Guarantor,NOT DISCLOSED,700000,700000,,0,,21800,764,2009-04-29,2012-12-27,2015-12-14,2012-12-27,2015-12-01,2013-01-01,000XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,,28
10472013941,202602,2026-01-30,Business Loan - General,Closed,,Individual,KOTAK BANK,875000,875000,,0,,,764,2009-03-30,2012-04-10,2012-04-30,2012-03-02,2012-04-01,2009-05-01,000000000000000000000000000XXX000000000XXX000000000000000000000000000000000000000000000000000000000000000000,,33
10472013941,202602,2026-01-30,Other,Live,,Joint,KOTAK BANK,455385,455385,,283710,,,764,2009-02-27,,2010-07-31,2010-07-01,2010-07-01,2009-02-01,000000000000000000000000000000000000000000000000000000,,17
10472013941,202602,2026-01-30,Business Loan - General,Closed,,Guarantor,KOTAK BANK,435000,435000,,0,,,764,2008-11-12,2011-11-21,2011-11-30,2011-10-10,2011-11-01,2008-12-01,000000000000000000000000XXX000000000000000000000000000000000000000000000000000000000000000000000000000000000,,12
10472013941,202602,2026-01-30,Business Loan - General,Closed,,Individual,KOTAK BANK,500000,500000,,0,,,764,2008-11-10,2011-11-14,2011-11-30,2011-10-10,2011-11-01,2008-12-01,000000000000000000000000XXX000000000000000000000000000000000000000000000000000000000000000000000000000000000,,19
10472013941,202602,2026-01-30,Business Loan - General,Closed,,Individual,KOTAK BANK,375000,375000,,0,,,764,2008-09-11,2010-08-10,2010-08-31,2010-03-11,2010-08-01,2008-09-01,000000000000000000000000000000000000000000000000000000000000000000000000,,10
10472013941,202602,2026-01-30,Auto Loan (Personal),Closed,,Guarantor,KOTAK BANK,306942,306942,,0,,,764,2008-02-16,2009-02-20,2009-02-28,2009-01-12,2009-02-01,2008-02-01,000000000000000000000000000000000000000,,7
10472013941,202602,2026-01-30,Business Loan - General,Closed,,Joint,KOTAK BANK,775000,775000,,0,,,764,2008-01-30,2011-09-23,2011-09-30,2011-01-10,2011-09-01,2008-10-01,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,29
10472013941,202602,2026-01-30,Business Loan - General,Closed,,Individual,KOTAK BANK,812000,812000,,0,,,764,2006-11-22,2010-08-10,2010-08-31,2009-10-12,2010-08-01,2007-09-01,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,31
10472013941,202602,2026-01-30,Gold Loan,Closed,,Individual,KOTAK BANK,242000,242000,,0,,,764,2014-10-08,2016-01-05,2016-02-29,2015-10-15,2016-01-01,2014-10-01,XXXXXX047017000000000001000000000000000000000000,,6
